,country,lat,lng
0,ae,25.197596,55.364273
1,al,41.178815,19.906106
2,ar,-34.606123,-64.25705300000001
3,as,-14.274263999999999,-170.69515
4,at,48.203321,16.343026000000002
5,au,-33.3280145,146.13109000000003
6,bd,23.718937,89.92531600000002
7,be,50.837642,4.597653
8,bg,42.69657,25.35757000000001
9,bo,-17.353665499999998,-66.737736
10,br,-16.837795999999997,-45.9619755
11,bt,27.284054,90.43065
12,bw,-21.175495,25.670214
13,ca,48.343887,-79.55654700000002
14,ch,46.944386,8.03988
15,cl,-35.925911,-71.68346500000001
16,cn,25.05658,120.488075
17,co,6.190048,-74.7907
18,cz,49.800037,15.169517
19,de,51.36423,9.823234
20,dk,55.685634500000006,10.3924155
21,do,18.53186,-69.963356
22,ec,-1.36760905,-79.49278999999999
23,ee,58.88401999999999,25.408709
24,eg,29.979294,31.137154
25,es,40.28259,-3.9313529
26,fi,62.633625,25.309801
27,fo,62.086243,-6.818231
28,fr,47.876423,2.2842941000000003
29,gb,52.681458,-2.0578947
30,gh,6.5519724,-0.349010015
31,gl,66.9494975,-51.71169
32,gr,38.4620305,23.4727565
33,gt,14.635931,-90.580195
34,hk,22.3213185,114.15598
35,hr,45.3308535,16.526882
36,hu,47.33646,19.1588335
37,id,-6.766038000000001,110.804085
38,ie,53.293433500000006,-7.92659385
39,il,32.074238,34.957462500000005
40,in,21.30807,77.237855
41,is,64.14758,-21.790272
42,it,42.09949,12.504263
43,jo,31.7411125,35.788983
44,jp,35.4454,137.9097
45,ke,-0.49527822000000005,36.835058000000004
46,kg,42.21052,74.58894000000001
47,kh,12.424327,104.77548
48,kr,37.4609935,127.04780199999999
49,lk,7.25511,80.35258499999998
50,ls,-29.334167,27.797634
51,lt,55.26485400000001,23.87599
52,lv,56.930016,24.623398
53,mg,-18.921066,47.53148
54,mk,41.859818,21.705244
55,mn,47.729122000000004,106.892795
56,mx,20.3588435,-99.24751499999999
57,my,2.33378315,103.651555
58,ng,6.66621735,4.17972335
59,nl,52.3038485,5.0597235000000005
60,no,62.370064,10.77828
61,nz,-39.90158,174.16238
62,pe,-11.922391,-76.42768000000002
63,ph,14.561889,121.0528225
64,pk,31.588758,73.24349000000002
65,pl,52.048365000000004,19.443752
66,pr,18.382612,-66.119835
67,pt,39.409557,-8.576934
68,ro,45.66272,25.171312
69,rs,44.497215,20.592169
70,ru,55.18425,49.3602
71,se,59.516146000000006,16.45721
72,sg,1.34738135,103.826418
73,si,46.136375,14.577268
74,sk,48.660167,19.132722
75,sn,14.7413685,-16.239776500000005
76,sz,-26.731384,31.324276
77,th,15.174038,100.319786
78,tn,35.775562,10.455659
79,tr,39.6717,33.42129
80,tw,24.028982,120.76894
81,ua,49.7846565,30.552969
82,ug,0.34127006000000004,32.560351
83,us,38.262444,-89.93918000000002
84,uy,-34.342745,-56.069608
85,vn,16.47004,106.68697
86,za,-29.731258,27.110868
